ensembl_A,ensembl_B
ENSSSAG00000072686,ENSSSAG00000006623
ENSSSAG00000080505,ENSSSAG00000068846
ENSSSAG00000072882,ENSSSAG00000062981
ENSSSAG00000093665,ENSSSAG00000053544
ENSSSAG00000064172,ENSSSAG00000070511
ENSSSAG00000005909,ENSSSAG00000053861
ENSSSAG00000052234,ENSSSAG00000043162
ENSSSAG00000041000,ENSSSAG00000063475
ENSSSAG00000039526,ENSSSAG00000107836
ENSSSAG00000001266,ENSSSAG00000080578
ENSSSAG00000084886,ENSSSAG00000072197
ENSSSAG00000063847,ENSSSAG00000062948
ENSSSAG00000100623,ENSSSAG00000077924
ENSSSAG00000078661,ENSSSAG00000104276
ENSSSAG00000046080,ENSSSAG00000006681
ENSSSAG00000041025,ENSSSAG00000080616
ENSSSAG00000068527,ENSSSAG00000009802
ENSSSAG00000069392,ENSSSAG00000042221
ENSSSAG00000081095,ENSSSAG00000003134
ENSSSAG00000044931,ENSSSAG00000109879
ENSSSAG00000094912,ENSSSAG00000068569
ENSSSAG00000103268,ENSSSAG00000002641
ENSSSAG00000054668,ENSSSAG00000120113
ENSSSAG00000115673,ENSSSAG00000093418
ENSSSAG00000074209,ENSSSAG00000066355
ENSSSAG00000042877,ENSSSAG00000067971
ENSSSAG00000083441,ENSSSAG00000092033
ENSSSAG00000086246,ENSSSAG00000066427
ENSSSAG00000110425,ENSSSAG00000024249
ENSSSAG00000067511,ENSSSAG00000106162
ENSSSAG00000067999,ENSSSAG00000113293
ENSSSAG00000046616,ENSSSAG00000079910
ENSSSAG00000079561,ENSSSAG00000079892
ENSSSAG00000078394,ENSSSAG00000015452
ENSSSAG00000045830,ENSSSAG00000040024
ENSSSAG00000072014,ENSSSAG00000046356
ENSSSAG00000074794,ENSSSAG00000046867
ENSSSAG00000072069,ENSSSAG00000049768
ENSSSAG00000003910,ENSSSAG00000051653
ENSSSAG00000067062,ENSSSAG00000046975
ENSSSAG00000102749,ENSSSAG00000082801
ENSSSAG00000105694,ENSSSAG00000092891
ENSSSAG00000095175,ENSSSAG00000102025
ENSSSAG00000070282,ENSSSAG00000089165
ENSSSAG00000077478,ENSSSAG00000039748
ENSSSAG00000071362,ENSSSAG00000040839
ENSSSAG00000085999,ENSSSAG00000034600
ENSSSAG00000074547,ENSSSAG00000070035
ENSSSAG00000044992,ENSSSAG00000091550
ENSSSAG00000092170,ENSSSAG00000094851
ENSSSAG00000096472,ENSSSAG00000063794
ENSSSAG00000004189,ENSSSAG00000115245
ENSSSAG00000105676,ENSSSAG00000080545
ENSSSAG00000044002,ENSSSAG00000062697
ENSSSAG00000055242,ENSSSAG00000059477
ENSSSAG00000054471,ENSSSAG00000109523
ENSSSAG00000075547,ENSSSAG00000083332
ENSSSAG00000053630,ENSSSAG00000084081
ENSSSAG00000052939,ENSSSAG00000015484
ENSSSAG00000078466,ENSSSAG00000015519
ENSSSAG00000064292,ENSSSAG00000016498
ENSSSAG00000055455,ENSSSAG00000088529
ENSSSAG00000109831,ENSSSAG00000088642
ENSSSAG00000117112,ENSSSAG00000015896
ENSSSAG00000069498,ENSSSAG00000097206
ENSSSAG00000058926,ENSSSAG00000010140
ENSSSAG00000080111,ENSSSAG00000004878
ENSSSAG00000006720,ENSSSAG00000065899
ENSSSAG00000076721,ENSSSAG00000058580
ENSSSAG00000078399,ENSSSAG00000105793
ENSSSAG00000104050,ENSSSAG00000064115
ENSSSAG00000051173,ENSSSAG00000078845
ENSSSAG00000007422,ENSSSAG00000079639
ENSSSAG00000080772,ENSSSAG00000079616
ENSSSAG00000053108,ENSSSAG00000079607
ENSSSAG00000039537,ENSSSAG00000082709
ENSSSAG00000074584,ENSSSAG00000079511
ENSSSAG00000003293,ENSSSAG00000009161
ENSSSAG00000085784,ENSSSAG00000009198
ENSSSAG00000067593,ENSSSAG00000050899
ENSSSAG00000112885,ENSSSAG00000043708
ENSSSAG00000043938,ENSSSAG00000112316
ENSSSAG00000075023,ENSSSAG00000051547
ENSSSAG00000068344,ENSSSAG00000102804
ENSSSAG00000073285,ENSSSAG00000085997
ENSSSAG00000059480,ENSSSAG00000054398
ENSSSAG00000095391,ENSSSAG00000094600
ENSSSAG00000066401,ENSSSAG00000072800
ENSSSAG00000077749,ENSSSAG00000087093
ENSSSAG00000075988,ENSSSAG00000088607
ENSSSAG00000003147,ENSSSAG00000005927
ENSSSAG00000096833,ENSSSAG00000005942
ENSSSAG00000043976,ENSSSAG00000088022
ENSSSAG00000003044,ENSSSAG00000056162
ENSSSAG00000105847,ENSSSAG00000041242
ENSSSAG00000046197,ENSSSAG00000004728
