name,ensembl_gene_id
ensembl_A,ENSSSAG00000072686
ensembl_B,ENSSSAG00000006623
ensembl_A,ENSSSAG00000080505
ensembl_B,ENSSSAG00000068846
ensembl_A,ENSSSAG00000072882
ensembl_B,ENSSSAG00000062981
ensembl_A,ENSSSAG00000093665
ensembl_B,ENSSSAG00000053544
ensembl_A,ENSSSAG00000064172
ensembl_B,ENSSSAG00000070511
ensembl_A,ENSSSAG00000005909
ensembl_B,ENSSSAG00000053861
ensembl_A,ENSSSAG00000052234
ensembl_B,ENSSSAG00000043162
ensembl_A,ENSSSAG00000041000
ensembl_B,ENSSSAG00000063475
ensembl_A,ENSSSAG00000039526
ensembl_B,ENSSSAG00000107836
ensembl_A,ENSSSAG00000001266
ensembl_B,ENSSSAG00000080578
ensembl_A,ENSSSAG00000084886
ensembl_B,ENSSSAG00000072197
ensembl_A,ENSSSAG00000063847
ensembl_B,ENSSSAG00000062948
ensembl_A,ENSSSAG00000100623
ensembl_B,ENSSSAG00000077924
ensembl_A,ENSSSAG00000078661
ensembl_B,ENSSSAG00000104276
ensembl_A,ENSSSAG00000046080
ensembl_B,ENSSSAG00000006681
ensembl_A,ENSSSAG00000041025
ensembl_B,ENSSSAG00000080616
ensembl_A,ENSSSAG00000068527
ensembl_B,ENSSSAG00000009802
ensembl_A,ENSSSAG00000069392
ensembl_B,ENSSSAG00000042221
ensembl_A,ENSSSAG00000081095
ensembl_B,ENSSSAG00000003134
ensembl_A,ENSSSAG00000044931
ensembl_B,ENSSSAG00000109879
ensembl_A,ENSSSAG00000094912
ensembl_B,ENSSSAG00000068569
ensembl_A,ENSSSAG00000103268
ensembl_B,ENSSSAG00000002641
ensembl_A,ENSSSAG00000054668
ensembl_B,ENSSSAG00000120113
ensembl_A,ENSSSAG00000115673
ensembl_B,ENSSSAG00000093418
ensembl_A,ENSSSAG00000074209
ensembl_B,ENSSSAG00000066355
ensembl_A,ENSSSAG00000042877
ensembl_B,ENSSSAG00000067971
ensembl_A,ENSSSAG00000083441
ensembl_B,ENSSSAG00000092033
ensembl_A,ENSSSAG00000086246
ensembl_B,ENSSSAG00000066427
ensembl_A,ENSSSAG00000110425
ensembl_B,ENSSSAG00000024249
ensembl_A,ENSSSAG00000067511
ensembl_B,ENSSSAG00000106162
ensembl_A,ENSSSAG00000067999
ensembl_B,ENSSSAG00000113293
ensembl_A,ENSSSAG00000046616
ensembl_B,ENSSSAG00000079910
ensembl_A,ENSSSAG00000079561
ensembl_B,ENSSSAG00000079892
ensembl_A,ENSSSAG00000078394
ensembl_B,ENSSSAG00000015452
ensembl_A,ENSSSAG00000045830
ensembl_B,ENSSSAG00000040024
ensembl_A,ENSSSAG00000072014
ensembl_B,ENSSSAG00000046356
ensembl_A,ENSSSAG00000074794
ensembl_B,ENSSSAG00000046867
ensembl_A,ENSSSAG00000072069
ensembl_B,ENSSSAG00000049768
ensembl_A,ENSSSAG00000003910
ensembl_B,ENSSSAG00000051653
ensembl_A,ENSSSAG00000067062
ensembl_B,ENSSSAG00000046975
ensembl_A,ENSSSAG00000102749
ensembl_B,ENSSSAG00000082801
ensembl_A,ENSSSAG00000105694
ensembl_B,ENSSSAG00000092891
ensembl_A,ENSSSAG00000095175
ensembl_B,ENSSSAG00000102025
ensembl_A,ENSSSAG00000070282
ensembl_B,ENSSSAG00000089165
ensembl_A,ENSSSAG00000077478
ensembl_B,ENSSSAG00000039748
ensembl_A,ENSSSAG00000071362
ensembl_B,ENSSSAG00000040839
ensembl_A,ENSSSAG00000085999
ensembl_B,ENSSSAG00000034600
ensembl_A,ENSSSAG00000074547
ensembl_B,ENSSSAG00000070035
ensembl_A,ENSSSAG00000044992
ensembl_B,ENSSSAG00000091550
ensembl_A,ENSSSAG00000092170
ensembl_B,ENSSSAG00000094851
ensembl_A,ENSSSAG00000096472
ensembl_B,ENSSSAG00000063794
ensembl_A,ENSSSAG00000004189
ensembl_B,ENSSSAG00000115245
ensembl_A,ENSSSAG00000105676
ensembl_B,ENSSSAG00000080545
ensembl_A,ENSSSAG00000044002
ensembl_B,ENSSSAG00000062697
ensembl_A,ENSSSAG00000055242
ensembl_B,ENSSSAG00000059477
ensembl_A,ENSSSAG00000054471
ensembl_B,ENSSSAG00000109523
ensembl_A,ENSSSAG00000075547
ensembl_B,ENSSSAG00000083332
ensembl_A,ENSSSAG00000053630
ensembl_B,ENSSSAG00000084081
ensembl_A,ENSSSAG00000052939
ensembl_B,ENSSSAG00000015484
ensembl_A,ENSSSAG00000078466
ensembl_B,ENSSSAG00000015519
ensembl_A,ENSSSAG00000064292
ensembl_B,ENSSSAG00000016498
ensembl_A,ENSSSAG00000055455
ensembl_B,ENSSSAG00000088529
ensembl_A,ENSSSAG00000109831
ensembl_B,ENSSSAG00000088642
ensembl_A,ENSSSAG00000117112
ensembl_B,ENSSSAG00000015896
ensembl_A,ENSSSAG00000069498
