loc_id,ensembl,width
1433b,ENSSSAG00000063098,10647
143b2,ENSSSAG00000114249,4917
143g1,ENSSSAG00000038870,14246
143g2,ENSSSAG00000072660,9073
2a5e,ENSSSAG00000044391,71986
5nt1a,ENSSSAG00000015682,6827
5ntc,ENSSSAG00000045618,10857
7b2,ENSSSAG00000073223,10383
LOC100136352,ENSSSAG00000116649,4868
LOC100136353,ENSSSAG00000055811,8023
LOC100136364,ENSSSAG00000051689,51182
LOC100136366,ENSSSAG00000068465,81399
LOC100136369,ENSSSAG00000006623,2935
LOC100136371,ENSSSAG00000067669,94559
LOC100136378,ENSSSAG00000005012,10802
LOC100136379,ENSSSAG00000044132,36239
LOC100136382,ENSSSAG00000067322,33569
LOC100136385,ENSSSAG00000087677,941
LOC100136387,ENSSSAG00000068846,1601
LOC100136388,ENSSSAG00000010828,199550
LOC100136390,ENSSSAG00000088702,11562
LOC100136391,ENSSSAG00000008620,12826
LOC100136392,ENSSSAG00000001987,53514
LOC100136393,ENSSSAG00000007991,6590
LOC100136396,ENSSSAG00000065419,7963
LOC100136404,ENSSSAG00000077998,37839
LOC100136408,ENSSSAG00000006389,14676
LOC100136409,ENSSSAG00000062981,3991
LOC100136415,ENSSSAG00000009160,54608
LOC100136416,ENSSSAG00000070128,15417
LOC100136417,ENSSSAG00000042521,4885
LOC100136418,ENSSSAG00000040457,6904
LOC100136420,ENSSSAG00000053544,1645
LOC100136421,ENSSSAG00000119808,6695
LOC100136424,ENSSSAG00000067418,4019
LOC100136426,ENSSSAG00000054140,10393
LOC100136428,ENSSSAG00000070468,56741
LOC100136430,ENSSSAG00000081432,6836
LOC100136434,ENSSSAG00000079889,6520
LOC100136439,ENSSSAG00000049319,1620
LOC100136445,ENSSSAG00000080757,41291
LOC100136446,ENSSSAG00000076658,4030
LOC100136447,ENSSSAG00000040735,5171
LOC100136448,ENSSSAG00000070511,29636
LOC100136449,ENSSSAG00000047946,2562
LOC100136451,ENSSSAG00000045680,3757
LOC100136453,ENSSSAG00000074950,1411
LOC100136454,ENSSSAG00000010103,6962
LOC100136455,ENSSSAG00000004776,24295
LOC100136456,ENSSSAG00000040725,4802
LOC100136459,ENSSSAG00000041831,9419
LOC100136462,ENSSSAG00000100080,9510
LOC100136463,ENSSSAG00000081526,22137
LOC100136466,ENSSSAG00000057619,12742
LOC100136469,ENSSSAG00000073649,2952
LOC100136470,ENSSSAG00000039320,2400
LOC100136472,ENSSSAG00000029585,18965
LOC100136473,ENSSSAG00000063226,42081
LOC100136477,ENSSSAG00000044482,58832
LOC100136478,ENSSSAG00000039276,20555
LOC100136479,ENSSSAG00000118596,9575
LOC100136483,ENSSSAG00000072377,2669
LOC100136484,ENSSSAG00000003722,15493
LOC100136485,ENSSSAG00000077892,2749
LOC100136486,ENSSSAG00000094657,13859
LOC100136488,ENSSSAG00000039031,942
LOC100136491,ENSSSAG00000053861,12718
LOC100136494,ENSSSAG00000121802,26310
LOC100136496,ENSSSAG00000054004,11699
LOC100136498,ENSSSAG00000046482,3195
LOC100136501,ENSSSAG00000040774,18621
LOC100136502,ENSSSAG00000076631,10884
LOC100136504,ENSSSAG00000055222,3909
LOC100136506,ENSSSAG00000049721,56898
LOC100136508,ENSSSAG00000072491,5124
LOC100136509,ENSSSAG00000044993,2840
LOC100136511,ENSSSAG00000042607,1493
LOC100136512,ENSSSAG00000107544,7463
LOC100136515,ENSSSAG00000009995,5147
LOC100136517,ENSSSAG00000108388,20889
LOC100136520,ENSSSAG00000008160,43672
LOC100136521,ENSSSAG00000065787,4909
LOC100136525,ENSSSAG00000078842,3212
LOC100136526,ENSSSAG00000080946,19676
LOC100136532,ENSSSAG00000017149,51656
LOC100136537,ENSSSAG00000072884,1572
LOC100136538,ENSSSAG00000091362,3761
LOC100136539,ENSSSAG00000043162,5859
LOC100136540,ENSSSAG00000093053,21532
LOC100136541,ENSSSAG00000105254,1031
LOC100136544,ENSSSAG00000059887,1421
LOC100136547,ENSSSAG00000006004,2290
LOC100136549,ENSSSAG00000055061,13936
LOC100136552,ENSSSAG00000121005,10809
LOC100136559,ENSSSAG00000002509,6656
LOC100136561,ENSSSAG00000062912,6522
LOC100136563,ENSSSAG00000042557,6947
LOC100136564,ENSSSAG00000049977,4710
LOC100136569,ENSSSAG00000115245,11391
LOC100136571,ENSSSAG00000055203,3627
LOC100136573,ENSSSAG00000115227,1731
LOC100136576,ENSSSAG00000044737,11788
LOC100136583,ENSSSAG00000028365,2898
LOC100136587,ENSSSAG00000098558,12608
LOC100136588,ENSSSAG00000055013,3932
LOC100136589,ENSSSAG00000068189,592
LOC100136797,ENSSSAG00000001804,17999
LOC100136798,ENSSSAG00000075958,26589
LOC100136799,ENSSSAG00000073060,8121
LOC100136916,ENSSSAG00000071998,3317
LOC100136926,ENSSSAG00000069706,3132
LOC100136930,ENSSSAG00000086449,3849
LOC100136935,ENSSSAG00000041955,13180
LOC100136940,ENSSSAG00000114717,2852
LOC100136942,ENSSSAG00000088508,1591
LOC100136945,ENSSSAG00000036512,15742
LOC100137051,ENSSSAG00000119075,2596
LOC100137092,ENSSSAG00000081457,3156
LOC100169853,ENSSSAG00000076595,7123
LOC100169854,ENSSSAG00000040842,5448
LOC100169857,ENSSSAG00000112552,36277
LOC100169858,ENSSSAG00000043323,8942
LOC100192336,ENSSSAG00000076373,10659
LOC100194469,ENSSSAG00000118319,6357
LOC100194495,ENSSSAG00000000133,2039
LOC100194498,ENSSSAG00000116892,12576
LOC100194500,ENSSSAG00000039751,8951
LOC100194502,ENSSSAG00000064323,5006
LOC100194505,ENSSSAG00000069967,1815
LOC100194507,ENSSSAG00000040772,8260
LOC100194508,ENSSSAG00000079061,22317
LOC100194516,ENSSSAG00000040312,3274
LOC100194517,ENSSSAG00000037277,9231
LOC100194520,ENSSSAG00000008019,12023
LOC100194522,ENSSSAG00000066742,7544
LOC100194523,ENSSSAG00000053452,11518
LOC100194528,ENSSSAG00000069550,7954
LOC100194534,ENSSSAG00000067036,2792
LOC100194540,ENSSSAG00000072492,11615
LOC100194543,ENSSSAG00000000847,4322
LOC100194545,ENSSSAG00000068164,13961
LOC100194546,ENSSSAG00000039999,2506
LOC100194553,ENSSSAG00000048938,4415
LOC100194554,ENSSSAG00000055931,6514
LOC100194557,ENSSSAG00000043592,3492
LOC100194559,ENSSSAG00000075107,16178
LOC100194561,ENSSSAG00000072189,2128
LOC100194564,ENSSSAG00000079289,12649
LOC100194566,ENSSSAG00000053282,1759
LOC100194572,ENSSSAG00000081050,15506
LOC100194575,ENSSSAG00000102975,4982
LOC100194579,ENSSSAG00000043120,6567
LOC100194580,ENSSSAG00000047853,3522
LOC100194583,ENSSSAG00000072986,20044
LOC100194584,ENSSSAG00000075129,31147
LOC100194587,ENSSSAG00000098198,27586
LOC100194597,ENSSSAG00000056009,21238
LOC100194600,ENSSSAG00000106565,5191
LOC100194603,ENSSSAG00000070027,3339
LOC100194604,ENSSSAG00000039756,3135
LOC100194605,ENSSSAG00000070363,9109
LOC100194607,ENSSSAG00000067727,24910
LOC100194618,ENSSSAG00000086145,2144
LOC100194622,ENSSSAG00000070025,17633
LOC100194623,ENSSSAG00000113404,19705
LOC100194624,ENSSSAG00000047233,7632
LOC100194627,ENSSSAG00000000689,7562
LOC100194629,ENSSSAG00000067594,16447
LOC100194632,ENSSSAG00000068977,11403
LOC100194634,ENSSSAG00000071597,7512
LOC100194635,ENSSSAG00000044218,13748
LOC100194636,ENSSSAG00000105218,35884
LOC100194637,ENSSSAG00000109945,4728
LOC100194640,ENSSSAG00000078593,11304
LOC100194641,ENSSSAG00000008143,7484
LOC100194642,ENSSSAG00000048886,10523
LOC100194643,ENSSSAG00000041634,8602
LOC100194644,ENSSSAG00000081461,5341
LOC100194645,ENSSSAG00000071667,3615
LOC100194646,ENSSSAG00000009794,5526
LOC100194647,ENSSSAG00000006800,7804
LOC100194649,ENSSSAG00000076707,3922
LOC100194650,ENSSSAG00000063475,3181
LOC100194652,ENSSSAG00000062741,2980
LOC100194654,ENSSSAG00000107836,2380
LOC100194655,ENSSSAG00000039228,2588
LOC100194656,ENSSSAG00000064938,10107
LOC100194657,ENSSSAG00000122198,5606
LOC100194658,ENSSSAG00000080578,15435
LOC100194659,ENSSSAG00000073735,1902
LOC100194660,ENSSSAG00000064058,9442
LOC100194663,ENSSSAG00000075202,4827
LOC100194664,ENSSSAG00000069469,41720
LOC100194665,ENSSSAG00000072118,3673
LOC100194666,ENSSSAG00000003022,16685
LOC100194668,ENSSSAG00000065689,4293
LOC100194672,ENSSSAG00000072186,32266
LOC100194673,ENSSSAG00000072197,22096
LOC100194674,ENSSSAG00000048531,158579
LOC100194676,ENSSSAG00000077346,10076
LOC100194678,ENSSSAG00000015635,13347
LOC100194679,ENSSSAG00000046871,3248
LOC100194681,ENSSSAG00000104767,4239
LOC100194682,ENSSSAG00000105721,7263
LOC100194683,ENSSSAG00000062948,3369
LOC100194684,ENSSSAG00000119139,23686
LOC100194687,ENSSSAG00000064839,8653
LOC100194692,ENSSSAG00000046216,4012
LOC100194696,ENSSSAG00000066401,4159
LOC100194697,ENSSSAG00000077924,18269
LOC100194698,ENSSSAG00000066632,12680
LOC100194700,ENSSSAG00000105866,2250
LOC100194701,ENSSSAG00000007692,6458
LOC100194703,ENSSSAG00000104276,3894
LOC100194705,ENSSSAG00000048649,6330
LOC100194706,ENSSSAG00000106198,1083
LOC100194707,ENSSSAG00000069432,22242
LOC100194708,ENSSSAG00000053246,17249
LOC100194710,ENSSSAG00000067924,4258
LOC100194711,ENSSSAG00000082362,5654
LOC100194712,ENSSSAG00000049803,93649
LOC100194713,ENSSSAG00000064573,30114
LOC100194714,ENSSSAG00000065436,3279
LOC100194715,ENSSSAG00000081326,1826
LOC100194717,ENSSSAG00000001992,8754
LOC100194719,ENSSSAG00000051508,20527
LOC100194720,ENSSSAG00000052968,1932
LOC100194721,ENSSSAG00000004798,16601
LOC100194722,ENSSSAG00000107990,3315
LOC100194723,ENSSSAG00000052515,10041
LOC100194724,ENSSSAG00000043976,10358
LOC100194725,ENSSSAG00000104310,3605
LOC100194727,ENSSSAG00000080313,104030
LOC100194728,ENSSSAG00000056480,9340
LOC100194730,ENSSSAG00000048351,208487
LOC100194731,ENSSSAG00000049408,3411
LOC100194732,ENSSSAG00000100276,24777
LOC100194734,ENSSSAG00000052798,4929
LOC100194737,ENSSSAG00000063653,11706
LOC100194743,ENSSSAG00000061846,36782
LOC100194790,ENSSSAG00000074636,7684
LOC100194819,ENSSSAG00000062871,51475
LOC100194848,ENSSSAG00000056184,10896
LOC100194849,ENSSSAG00000076067,190096
LOC100194851,ENSSSAG00000002274,5208
LOC100194859,ENSSSAG00000060019,22397
LOC100194878,ENSSSAG00000062806,13226
LOC100194880,ENSSSAG00000005732,27667
LOC100194916,ENSSSAG00000009143,8997
LOC100194929,ENSSSAG00000046681,18661
LOC100194936,ENSSSAG00000072520,4334
LOC100194937,ENSSSAG00000090198,6354
LOC100194969,ENSSSAG00000066099,77871
LOC100195019,ENSSSAG00000070197,9456
LOC100195029,ENSSSAG00000069754,7353
LOC100195036,ENSSSAG00000002071,15558
LOC100195089,ENSSSAG00000077072,11144
LOC100195113,ENSSSAG00000001843,19342
LOC100195150,ENSSSAG00000059693,7518
LOC100195159,ENSSSAG00000007497,2246
LOC100195165,ENSSSAG00000078190,15743
LOC100195181,ENSSSAG00000005545,11436
LOC100195184,ENSSSAG00000094912,26293
LOC100195197,ENSSSAG00000068430,6777
LOC100195200,ENSSSAG00000069221,30163
LOC100195226,ENSSSAG00000062463,8429
LOC100195230,ENSSSAG00000028722,21713
LOC100195238,ENSSSAG00000066916,2506
LOC100195249,ENSSSAG00000065234,80554
LOC100195252,ENSSSAG00000044909,22426
LOC100195253,ENSSSAG00000007186,5831
LOC100195256,ENSSSAG00000043721,30179
LOC100195274,ENSSSAG00000074833,8212
LOC100195281,ENSSSAG00000039371,9603
LOC100195288,ENSSSAG00000096772,2625
LOC100195293,ENSSSAG00000007086,51752
LOC100195319,ENSSSAG00000068268,35696
LOC100195360,ENSSSAG00000010034,17748
LOC100195362,ENSSSAG00000060852,18047
LOC100195363,ENSSSAG00000020190,13367
LOC100195382,ENSSSAG00000044642,11497
LOC100195390,ENSSSAG00000062526,4357
LOC100195399,ENSSSAG00000068727,1980
LOC100195405,ENSSSAG00000059043,4540
LOC100195412,ENSSSAG00000005256,9579
LOC100195434,ENSSSAG00000110723,5241
LOC100195440,ENSSSAG00000113571,7955
LOC100195443,ENSSSAG00000008080,39838
LOC100195459,ENSSSAG00000044953,3478
LOC100195485,ENSSSAG00000053156,7527
LOC100195512,ENSSSAG00000042764,23639
LOC100195531,ENSSSAG00000086481,3768
LOC100195536,ENSSSAG00000053644,4899
LOC100195537,ENSSSAG00000042650,4296
LOC100195551,ENSSSAG00000071960,41607
LOC100195570,ENSSSAG00000044594,46176
LOC100195572,ENSSSAG00000055177,4096
LOC100195610,ENSSSAG00000075635,10936
LOC100195615,ENSSSAG00000012342,1883
LOC100195675,ENSSSAG00000059227,1137
LOC100195676,ENSSSAG00000006079,1715
LOC100195679,ENSSSAG00000075270,2617
LOC100195680,ENSSSAG00000043775,9179
LOC100195685,ENSSSAG00000008312,13415
LOC100195694,ENSSSAG00000096514,5576
